Term,Standard Definition,Simple Definition,Funny Definition
Easement,A right to cross or otherwise use someone else's land for a specified purpose.,The right to use someone else’s land.,Borrowing land rights.
Easement by Necessity,An easement that allows access to a property because it is landlocked and has no other access.,Access granted to landlocked property.,Easement for the landlocked loner.
Easement by Prescription,A right to use another's property that is acquired by continuous use over a period of time.,Right to use someone’s property gained by long-term use.,The long-term use land pass.
Easement in Gross,"An easement that benefits a person or entity, rather than a parcel of land.",An easement that benefits an individual or company.,"Easement for the person, not the land."
Economic Rent,The rent a property can generate in the open market.,The rent a property can earn.,The property’s earning power.
Effective Age,"The age of a property based on its condition, rather than its actual age.",How old a property seems based on its condition.,The house’s ‘feels like’ age.
Effective Interest Rate,The interest rate on a loan taking into account the effect of compounding over time.,"The true interest rate over time, including compounding.",The interest rate’s true face.
Emblements,Crops or other products from the land that are considered personal property.,Crops considered personal property.,Farm stuff that’s personal property.
Eminent Domain,"The right of the government to take private property for public use, with payment of compensation.",Government's right to take property for public use with payment.,Government’s ‘we need this land’ right.
Encroachment,A structure or improvement that illegally intrudes on another's property.,Building that intrudes on another's land.,The boundary-busting building.
Encumbrance,Any claim or lien on a property that may decrease its value.,A claim or lien on property.,The property’s baggage.
Enforceable Contract,A contract that can be legally upheld by the court.,A contract that the court can enforce.,The court-approved contract.
Environmental Impact Report (EIR),A study to assess the potential effects of a proposed project on the environment.,A report on how a project will affect the environment.,The project’s eco-impact study.
Equitable Title,The interest held by a buyer under a contract for deed or an installment contract.,The buyer's interest in a property under contract.,The buyer’s property promise.
Equity,"The value of an ownership interest in property, calculated as the difference between the property's value and the amount owed on it.",Property value minus what you owe on it.,The property’s leftover value.
Equity of Redemption,The right of a property owner to reclaim property before it is sold through foreclosure.,Owner's right to reclaim property before foreclosure sale.,The ‘get it back’ right before foreclosure.
Escheat,The reversion of property to the state when there are no heirs or claimants.,Property goes to the state if no heirs.,Orphaned property’s state inheritance.
Escrow,A financial arrangement where a third party holds funds or documents until specified conditions are met.,Third party holds funds/documents until conditions are met.,The conditional money babysitter.
Escalation Clause,A clause in a lease that allows for the adjustment of rent based on changes in costs or other factors.,Rent changes based on costs or other factors.,The rent’s up-down clause.
Essential Elements of Value,"The elements necessary for a property to have value: demand, utility, scarcity, and transferability.","What makes property valuable: demand, utility, scarcity, and transferability.","The VIPs of property value: demand, utility, scarcity, and transferability."
Estoppel,A legal principle that prevents someone from arguing something contrary to a claim made or implied by their previous actions or statements.,Stopping someone from going back on their word or actions.,The ‘no take-backs’ rule.
Estoppel Certificate,A document used to confirm certain facts that are true to the best of the signer's knowledge.,A paper confirming certain facts are true.,The ‘I swear this is true’ paper.
Estate at Sufferance,"An estate in which a tenant remains in possession of property after the lease has expired, without the landlord's consent.",When a tenant stays after the lease ends without permission.,The squatter tenant who overstays.
Estate at Will,An estate in which the tenant or the landlord can terminate the lease at any time with proper notice.,A lease that can be ended at any time by tenant or landlord.,The on-call lease – end anytime.
Estate for Years,A leasehold estate set to last for a specific period.,A lease for a specific time period.,The time-ticking lease.
Estate in Severalty,Ownership of property by one person or a single legal entity.,Owning property alone.,The solo property owner.
Exclusive Agency Listing,A listing agreement where the owner retains the right to sell the property themselves without paying a commission to the listing agent.,Owner can sell property themselves without paying commission.,The sell-it-yourself deal.
Exclusive Authorization and Right to Sell Listing,"A listing agreement granting the agent exclusive rights to sell the property and earn a commission if the property is sold, regardless of who sells it.",Agent gets commission no matter who sells the property.,The agent's sure-thing commission.
Exclusive Listing,"A listing agreement where one broker is authorized to act as the exclusive agent for the seller, but the seller retains the right to sell the property themselves.","Only one agent can sell, but the owner can also sell it.","The solo agent, but owner can sell too."
Executed Contract,A contract in which all terms and conditions have been fully performed.,A fully completed contract.,The all-done deal.
Executory Contract,A contract in which some terms and conditions remain to be carried out.,A contract with some actions still needed.,The not-yet-done deal.
Extended Policy of Title Insurance,An insurance policy that covers additional risks beyond the standard policy.,Title insurance covering extra risks.,Title insurance plus extras.
Fair Housing Laws,"Laws that prohibit discrimination in housing based on race, color, religion, sex, national origin, familial status, or disability.",Laws against discrimination in housing.,The no-housing-bias laws.
Fair Market Value (FMV),The price a property would sell for in an open market under normal conditions.,The price a property should sell for in a normal market.,The property’s fair price tag.
Federal Housing Administration (FHA),A government agency that provides mortgage insurance on loans made by FHA-approved lenders.,Agency providing mortgage insurance.,The mortgage insurance helper.
Fee Appraiser,A professional who estimates the value of property for a fee.,Someone who appraises property value for a fee.,The value guesser for hire.
Fee Simple Defeasible,A type of ownership in which the property can be lost if a specific condition occurs or fails to occur.,Property ownership with conditions.,"The ‘if condition, then ownership’ rule."
Fee Simple Estate,"The greatest interest in a parcel of land, entitling the owner to use the property in any way that is legal.",Full ownership of land.,The ultimate land boss.
Fee Tail,An estate where inheritance is limited to lineal descendants.,Estate passed only to direct descendants.,The descendants-only estate.
Fiduciary,A person who holds a legal or ethical relationship of trust with one or more other parties.,A trusted person in a legal relationship.,The trust-holding hero.
Fixture,An item that was once personal property but has been attached to and becomes part of the real property.,Personal property attached to real property.,The attachment that’s now part of the house.
Floodplain,"An area of low-lying ground adjacent to a river, prone to flooding.","Low ground near a river, prone to flooding.",The flood-ready zone.
Foreclosure,"The legal process by which a lender takes control of a property, evicts the homeowner, and sells the home after the homeowner is unable to make full principal and interest payments on their mortgage.",Lender takes back the house after missed payments.,The house repossession process.
Freehold Estate,An estate in land in which ownership is for an indeterminate length of time.,Ownership for an indefinite time.,The forever ownership.
Frontage,"The length of a property that abuts a street, river, or other feature.",Property's length along a street or river.,The side length of the property.
Functional Obsolescence,A loss in value due to a property's features being outdated or less desirable.,When a house loses value because it’s outdated.,When your house feels like an old flip phone.
General Agent,An agent authorized to handle all of the principal's affairs in a certain area.,An agent who handles all matters for the principal in a certain area.,The principal’s all-in-one agent.
General Lien,A lien that attaches to all property owned by a debtor.,A lien against all of a debtor’s property.,The ‘take everything’ lien.
General Warranty Deed,A deed in which the grantor fully warrants good clear title to the premises.,A deed guaranteeing the property title is clear.,The ‘no surprise claims’ deed.
Gift Deed,A deed that transfers property out of affection and without consideration.,A deed transferring property as a gift.,"The ‘I love you, here’s a house’ deed."
Government National Mortgage Association (GNMA),A government corporation that provides liquidity to the mortgage market by guaranteeing mortgage-backed securities.,An agency that guarantees mortgage-backed securities.,The mortgage market’s liquidity helper.
Government Powers,"The powers held by the government to regulate land use, enforce laws, levy taxes, and seize property.",Government’s land use and property rights.,The government’s land power pack.
Graduated Payment Adjustable Mortgage (GPAM),A mortgage with payments that increase gradually for a set period and then level off.,A mortgage with rising payments that level off.,The mortgage with a payment growth spurt.
Graduated Payment Mortgage,A mortgage with lower initial payments that gradually increase over time.,A mortgage starting with low payments that increase.,The mortgage with a rising payment ramp.
Grandfather Clause,A provision that allows an old rule to continue to apply to some existing situations while a new rule will apply to all future cases.,A rule that lets old conditions continue while new ones apply going forward.,The ‘old rule stays’ clause.
Grant Deed,A deed that conveys ownership of real property from a grantor to a grantee.,A deed transferring property ownership.,The property handover paper.
Gross Lease,A lease where the tenant pays a fixed rent and the landlord covers all property charges.,A lease with a fixed rent; landlord pays property charges.,The ‘landlord pays all’ lease.
Gross Rent Multipliers,A ratio used to estimate the value of an income-producing property.,A ratio to estimate value of income property.,The income property’s value guesser.
Highest and Best Use,The most profitable legal use of a property.,The best and most profitable use of property.,The property’s best moneymaker role.
Holographic Will,A will written entirely by the testator in his or her own handwriting.,A will written by hand by the person making it.,The handwritten goodbye note.
Holder in Due Course,A party who acquires a negotiable instrument in good faith and has certain protections.,Someone who acquires a negotiable instrument honestly.,The honest negotiable instrument holder.
Hold Harmless Clause,A clause in a contract that exempts a party from liability for certain events.,A contract clause exempting liability for certain events.,The ‘not my fault’ contract clause.
Homestead Exemption,A legal exemption that protects a portion of a homeowner's equity from creditors.,Protection of home equity from creditors.,The home equity shield.
Housing Ratio,The ratio of housing expenses to before-tax income.,Ratio of housing costs to income.,The housing cost crunch number.
Hypothecate,To pledge property as security for a loan without giving up possession.,Pledging property for a loan without giving up possession.,The ‘property as loan pawn’ act.
Hypothecation,The act of pledging property as security for a loan.,Pledging property as loan security.,The loan security promise.
Impounds,Reserves maintained by a mortgage lender to cover future expenses such as taxes and insurance.,Lender's reserves for taxes and insurance.,The tax and insurance piggy bank.
Implicit Bias,"Unconscious attitudes or stereotypes that affect our understanding, actions, and decisions.",Unconscious biases affecting decisions.,The hidden bias ninja.
Income Approach,A method of appraising property based on the income it generates.,Appraising property based on income.,The property’s money-making appraisal.
Income Tax,"A tax on income, both earned (salaries, wages) and unearned (dividends, interest).",Tax on earned and unearned income.,The ‘earnings and extras’ tax.
Injunction,A court order that stops someone from doing something.,Court order to stop doing something.,The ‘cease and desist’ order.
Interest Rate Cap,A limit on how much the interest rate can increase on an adjustable-rate mortgage.,Cap on interest rate increases.,The interest rate’s upper limit.
Interim Loan,A short-term loan used to cover immediate needs until permanent financing is available.,Short-term loan until permanent financing.,The temporary money bridge.
Interim Occupancy Agreement,An agreement that allows a buyer to take possession of a property before the sale is completed.,Agreement allowing early possession of property.,The early bird property deal.
Intestate,Dying without a legal will.,Dying without a will.,The will-less departure.
Inverse Condemnation,"A situation where government action results in property damage or devaluation, without formal condemnation proceedings.",Property damage by government without formal condemnation.,The government’s sneaky property damage.
Joint Tenancy,A form of co-ownership where the owners have equal shares and the right of survivorship.,Co-ownership where everyone owns equally and inherits if the other dies.,Equal partners in property with 'last one standing' inheritance.
Jones vs. Mayer,A landmark civil rights case that upheld Congress's power to regulate the sale of private property to prevent racial discrimination.,A case that banned racial discrimination in property sales.,The case that said 'no racism in real estate.'
Judgment Lien,A lien placed on property by a court for a debt owed by the property owner.,A court-placed lien for owed debt.,The debt collector’s property claim.
Land Contract (Conditional Installment Sales Contract),"A contract for the sale of real property in which the buyer makes payments to the seller in exchange for the right to occupy and use the property, but no deed or title is transferred until all or a specified portion of payments have been made.",A property sale where the buyer pays in installments and gets the title after full payment.,Pay-as-you-go property buying.
Landlocked,A piece of land that does not have access to public roads.,Land with no road access.,The no-road land.
Lawful Object,An essential element of a valid contract; the purpose of the contract must be legal.,A necessary legal purpose for a contract.,The contract’s must-be-legal rule.
Lease,A contract granting use or occupation of property during a specified period in exchange for a specified rent.,Renting property for a set time for a set rent.,Renting property time.
Lease Option,A lease that gives the tenant the option to purchase the property at a future date.,A lease with an option to buy the property.,Lease with a future buy option.
Lease Purchase Agreement,"A lease that also includes a purchase agreement, obligating the tenant to purchase the property.",A lease that also includes a promise to buy the property.,Lease with a must-buy deal.
Leaseback,"An arrangement in which the seller of a property leases it back from the buyer, typically used in commercial real estate.",Seller rents the property back from the buyer.,Seller turns tenant.
Legal Description,A written description of a property's boundaries.,Written property boundaries.,The property’s boundary story.
Less Than Freehold Estate,"A leasehold estate that is less than freehold, such as an estate for years or estate at will.",Temporary property interest like a lease.,The short-term property deal.
Lien,A legal claim on property as security for a debt or obligation.,A legal claim on property for debt security.,The ‘you owe me’ property claim.
Life Estate,An interest in real property that lasts for the life of a specified individual.,Property interest lasting a person’s lifetime.,The live-long property right.
Life Estate Pur Autrie Vie,A life estate measured by the life of a person other than the life tenant.,Life estate based on someone else's life.,Life estate based on another's life.
Life Tenant,The person entitled to the rights and benefits of a life estate.,Person who enjoys a life estate.,The life estate beneficiary.
Liquidated Damages,An agreed sum of money specified in a contract to be paid in case of breach by the party who breaches.,Money agreed upon in a contract for a breach.,Contract penalty cash.
Lis Pendens,A recorded notice that there is a pending lawsuit involving the title to or interest in a property.,Notice of a pending lawsuit on property title.,The lawsuit heads-up for property.
Littoral Rights,"Rights concerning properties that abut an ocean, sea, or lake.",Rights of properties next to water bodies.,The ‘by the water’ property rights.
Loan-to-Value Ratio,A ratio expressing the relationship between the amount of a mortgage loan and the appraised value of the property.,Ratio of mortgage loan to property value.,The mortgage’s value ratio.
Marginal Tax Rate,The tax rate that applies to the next dollar of taxable income.,Tax rate on the next dollar earned.,The next dollar’s tax rate.
Market Data (Comparison) Approach,A method of valuing property by comparing similar properties.,Valuing property by comparing similar ones.,The property price copycat.
Material Fact,A fact that would be likely to affect a buyer’s decision to purchase a property.,Important fact affecting a buying decision.,The deal-breaking fact.
Mechanic's Lien,A lien on property for unpaid labor or materials.,Lien for unpaid labor/materials.,The ‘you owe for work’ lien.
Mechanics’ Lien Law,The body of law governing liens placed by contractors or workers for unpaid work.,Laws about liens for unpaid work.,The builder’s lien laws.
Misrepresentation,A false statement or omission that induces a party to enter into a contract.,False info making someone sign a contract.,The sneaky contract trick.
Mortgage Yield,The return on investment from a mortgage loan.,Return on investment from a mortgage.,The mortgage’s profit.
Mortgagee,The lender in a mortgage transaction.,The lender in a mortgage.,The loan giver.
Mortgagor,The borrower in a mortgage transaction.,The borrower in a mortgage.,The loan taker.
Multi-family Residential,A residential property designed to house more than one family.,A building with multiple homes for different families.,The multi-family nest.
Multiple Listing Service (MLS),A database used by real estate brokers to share information about properties for sale.,A system where brokers share property listings.,The property-sharing club for brokers.
Mutual Consent,Agreement by all parties to the terms of a contract.,Everyone agreeing to the contract terms.,The ‘we all agree’ moment.
Negative Amortization,A situation where the loan balance increases because payments do not cover the interest due.,When your loan balance grows because payments are too low.,The loan that grows like a bad weed.
Net Lease,A lease where the tenant pays some or all of the operating expenses in addition to rent.,A lease where the tenant pays rent plus some property costs.,The rent-plus-some-expenses lease.
Net Listing,A listing agreement where the agent receives any amount over a specified price as commission.,Agent gets commission on anything above a set price.,The 'above-the-line' commission deal.
Nominal Interest Rate,"The stated interest rate on a loan, not accounting for compounding.",The basic interest rate on a loan.,The interest rate’s plain face.
Nonconforming Use,A use of property that does not comply with the current zoning laws but is allowed because it existed legally before the new laws were enacted.,A property use allowed because it was legal before new zoning laws.,The old use that’s still okay.
Notice of Default,A formal notice filed with the court by a lender indicating that a borrower is in default on a mortgage.,A notice that you’re behind on mortgage payments.,The mortgage’s wake-up call.
Novation,"The substitution of a new contract or party for an old one, with the consent of all parties involved.",Replacing an old contract with a new one.,The contract swap.
Offer and Acceptance,The process of making an offer and having it accepted to form a binding contract.,Making an offer and having it accepted.,The handshake deal.
Open Listing,"A non-exclusive listing agreement where multiple brokers can try to sell the property, and the commission goes to the broker who finds the buyer.","A listing where many brokers can sell, and the one who sells gets paid.",The open-house listing.
Option,A contract giving someone the right to buy property at a set price within a specific period.,A contract to buy property at a set price in the future.,The buy-later coupon.
Origination Fee,A fee charged by lenders to process a new loan application.,Fee for processing a loan application.,The loan application fee.
Ostensible Authority,"Authority that a third party reasonably believes an agent has, based on the agent’s actions.",Authority that others assume you have based on your actions.,The 'I thought you could' authority.
Panic Peddling,The illegal practice of scaring homeowners into selling by suggesting that the racial or ethnic composition of the neighborhood is changing.,Scaring homeowners to sell by claiming neighborhood changes.,The scare-’em-to-sell scheme.
Panic Selling,The act of selling property hastily due to fear of market decline.,Selling quickly due to fear of market drop.,The fear-fueled sale.
